login_attempts,failed_logins,data_transfer_mb,access_time,ip_changes,is_malicious
4,0,90,13,0,0
10,5,720,2,4,1
5,1,130,11,1,0
12,6,850,1,6,1
6,2,160,9,1,0
9,4,520,3,3,1
10,5,680,2,4,1
7,2,220,10,1,0
12,6,820,1,6,1
8,3,460,4,2,1
6,1,170,11,1,0
11,5,750,2,5,1
5,0,140,13,0,0
9,4,600,3,3,1
10,5,720,2,4,1
3,1,186,15,1,0
3,0,71,9,1,0
6,1,155,12,0,0
5,0,68,14,1,0
3,0,83,16,1,0
6,1,123,11,0,0
3,0,177,13,1,0
4,1,133,9,1,0
3,1,175,15,1,0
6,1,137,14,1,0
4,0,63,14,0,0
3,1,135,13,1,0
3,1,175,9,1,0
2,1,132,12,1,0
6,0,177,11,0,0
5,1,192,12,0,0
4,1,89,9,1,0
2,0,68,13,0,0
4,1,183,11,0,0
4,1,105,9,0,0
6,0,160,14,1,0
6,0,79,10,1,0
4,1,60,15,0,0
6,0,145,10,1,0
5,1,109,15,1,0
6,1,193,11,0,0
2,0,105,12,1,0
5,1,138,11,0,0
3,1,73,9,0,0
3,0,128,15,1,0
5,0,166,11,1,0
4,0,178,16,0,0
5,1,185,16,1,0
4,1,90,10,1,0
4,1,150,16,0,0
2,1,184,11,0,0
4,1,86,14,1,0
6,0,84,14,0,0
3,1,120,14,1,0
4,1,152,9,0,0
6,0,96,10,0,0
6,0,82,12,0,0
2,0,161,15,0,0
4,0,107,9,1,0
4,0,73,9,1,0
4,1,174,11,1,0
4,0,179,9,0,0
2,1,168,15,0,0
2,0,76,14,1,0
2,1,105,16,1,0
4,1,157,12,1,0
4,1,117,12,1,0
2,1,198,13,1,0
3,0,180,13,0,0
2,0,62,16,1,0
2,0,169,11,0,0
2,0,154,15,0,0
4,1,69,16,1,0
4,0,90,9,0,0
4,1,105,13,0,0
5,0,93,16,0,0
5,1,106,12,1,0
2,1,97,10,0,0
3,1,119,12,0,0
5,1,183,14,0,0
4,1,171,12,1,0
2,1,119,11,1,0
5,0,104,12,0,0
3,1,65,11,1,0
3,1,176,15,0,0
5,1,148,15,1,0
6,1,135,16,1,0
4,0,187,16,0,0
2,1,195,16,1,0
2,0,63,11,1,0
2,0,194,13,1,0
6,1,85,11,1,0
3,0,93,15,0,0
2,1,194,16,0,0
5,0,181,10,0,0
6,1,176,14,1,0
6,1,198,13,1,0
2,1,172,10,0,0
3,0,146,12,0,0
4,0,117,9,0,0
5,0,178,13,1,0
2,0,103,14,0,0
4,0,89,16,0,0
3,1,162,13,0,0
2,0,113,12,1,0
3,0,182,13,0,0
3,1,140,13,1,0
3,1,94,12,1,0
6,1,133,14,0,0
4,1,171,9,0,0
4,0,115,15,1,0
2,0,138,11,0,0
3,0,104,12,0,0
5,0,195,13,0,0
6,0,178,9,1,0
5,1,110,14,1,0
3,1,116,13,1,0
6,0,108,12,0,0
6,0,190,9,1,0
5,1,63,15,1,0
2,0,105,14,0,0
4,1,190,15,1,0
5,0,165,15,1,0
6,1,161,13,0,0
2,1,68,10,1,0
5,0,103,14,0,0
6,1,181,16,0,0
6,0,91,9,1,0
3,0,112,9,1,0
4,0,197,15,0,0
6,0,87,11,0,0
2,1,108,16,0,0
6,0,90,16,1,0
4,0,165,14,0,0
3,0,195,12,0,0
2,0,85,11,1,0
4,1,84,12,1,0
2,0,192,11,1,0
3,1,84,10,0,0
2,0,161,11,0,0
