login_attempts,failed_logins,data_transfer_mb,access_time,ip_changes,is_malicious
5,1,120,10,0,0
8,3,500,2,3,1
4,0,80,14,0,0
10,5,700,1,4,1
6,1,150,11,1,0
7,2,200,9,1,0
9,4,600,3,3,1
5,0,110,12,0,0
12,6,900,1,5,1
7,1,180,10,1,0
6,0,140,13,0,0
8,2,260,9,1,0
9,3,480,4,2,1
5,0,120,14,0,0
10,4,520,2,3,1
6,1,160,11,1,0
7,0,150,12,0,0
11,5,650,1,4,1
4,0,90,15,0,0
5,0,90,16,0,0
7,2,177,13,1,0
4,1,111,10,1,0
3,1,118,11,1,0
4,0,155,12,0,0
7,1,217,14,0,0
6,1,150,12,1,0
3,0,179,13,0,0
3,0,244,13,1,0
3,1,235,12,1,0
11,6,796,4,3,1
4,1,109,14,0,0
6,1,158,15,0,0
8,4,698,2,4,1
6,2,82,10,0,0
6,2,199,10,1,0
11,5,553,2,4,1
3,2,200,14,0,0
5,2,159,16,1,0
7,1,63,13,1,0
7,2,66,10,0,0
5,1,129,10,0,0
5,2,145,13,1,0
7,0,154,16,0,0
6,0,166,11,0,0
9,4,514,3,4,1
4,2,174,10,0,0
9,4,870,4,5,1
9,7,943,4,3,1
5,2,56,12,1,0
4,1,237,11,0,0
11,3,682,1,5,1
6,0,167,12,0,0
12,7,957,2,3,1
5,2,159,9,0,0
5,0,108,10,1,0
6,2,227,16,1,0
7,0,222,9,0,0
7,2,146,12,1,0
6,1,61,9,0,0
6,2,71,15,0,0
3,2,123,10,0,0
6,1,208,10,1,0
4,1,64,15,0,0
7,1,87,9,1,0
3,2,64,12,1,0
4,1,76,9,1,0
10,7,898,1,7,1
5,0,94,11,0,0
7,2,249,16,0,0
5,0,51,12,0,0
7,1,202,15,1,0
7,1,92,10,0,0
9,4,818,1,3,1
6,2,184,10,0,0
4,0,210,12,1,0
6,2,232,11,1,0
3,1,147,12,1,0
4,2,92,15,0,0
6,2,96,13,1,0
7,2,190,12,0,0
5,2,187,11,1,0
15,7,587,2,4,1
5,0,150,11,0,0
7,0,154,15,1,0
14,4,826,2,7,1
15,5,679,4,5,1
4,2,223,12,1,0
4,1,223,10,0,0
5,1,200,10,1,0
12,4,675,1,5,1
9,4,840,3,3,1
9,7,483,3,3,1
4,2,107,10,1,0
7,2,107,10,0,0
6,2,166,12,1,0
3,1,149,16,0,0
3,0,150,10,0,0
4,2,75,9,1,0
7,2,152,16,1,0
6,2,164,16,1,0
4,1,106,11,0,0
3,1,245,10,1,0
7,1,72,15,0,0
6,1,125,13,0,0
7,0,173,16,1,0
14,6,507,1,5,1
6,2,85,16,0,0
6,2,207,11,0,0
3,0,191,12,0,0
5,0,226,14,0,0
3,0,127,11,0,0
7,0,83,14,0,0
9,3,711,4,4,1
3,2,82,11,1,0
6,0,80,16,0,0
7,1,226,14,1,0
9,5,658,1,6,1
6,0,214,13,0,0
4,0,218,11,1,0
3,1,106,13,0,0
5,1,180,15,0,0
5,1,61,13,0,0
5,0,89,11,1,0
7,2,121,11,1,0
10,7,498,2,3,1
7,1,145,16,1,0
3,0,240,14,0,0
13,5,746,4,4,1
10,4,465,4,6,1
3,0,51,16,1,0
5,2,99,13,0,0
15,3,920,2,4,1
5,2,56,9,1,0
4,0,150,11,1,0
12,4,769,4,6,1
6,0,203,14,1,0
3,0,97,12,0,0
6,0,161,13,0,0
10,4,588,3,7,1
3,2,91,11,1,0
15,3,918,3,5,1
4,0,236,9,1,0
13,7,811,1,7,1
6,0,124,14,0,0
7,2,96,9,1,0
7,0,132,15,0,0
6,0,56,10,1,0
4,0,144,14,1,0
5,2,174,9,0,0
14,3,672,2,7,1
